channel_1,channel_2,channel_3,channel_4
-0.048927493,-0.048240274,-0.047516797,-0.046765868
-0.11566168,-0.11563999,-0.11564397,-0.11555721
-0.05479704,-0.055685773,-0.056505762,-0.057249356
0.18782423,0.18762706,0.18752359,0.18746382
0.26340982,0.2633039,0.26318493,0.2630902
0.041694015,0.041124057,0.040493686,0.039868914
-0.08606633,-0.0868684,-0.08761985,-0.088311784
0.08948161,0.08978385,0.09014567,0.09055287
0.11296755,0.11369349,0.11445229,0.11517844
-0.0026284698,-0.0016215341,-0.00049136445,0.00030371582
0.080508165,0.08060068,0.08075494,0.08089209
0.25548336,0.25436383,0.25322855,0.2521306
0.31436098,0.31238222,0.310414,0.30847538
0.3321091,0.33005434,0.32812,0.32619384
0.3008235,0.2989616,0.29726824,0.29559132
0.09652462,0.09445306,0.09261478,0.090807386
-0.13697457,-0.13991281,-0.1423123,-0.14459938
-0.09221786,-0.09478262,-0.09691491,-0.09884243
-0.017028414,-0.019138169,-0.021141142,-0.02289136
-0.0025670624,-0.0039885505,-0.0053636166,-0.0064991307
0.050786816,0.050095998,0.04947524,0.048947677
0.038451526,0.03710556,0.035773013,0.034440067
-0.17024443,-0.17334907,-0.1764821,-0.17969352
-0.16440234,-0.16827688,-0.17216597,-0.1760731
0.04154372,0.039118286,0.036675483,0.03423681
0.11540733,0.114016645,0.11261874,0.1111787
0.03146231,0.031679954,0.032020614,0.03231878
-0.05221625,-0.051805366,-0.051013984,-0.05019148
-0.06311335,-0.065133825,-0.066809535,-0.068398476
-0.056115206,-0.058898557,-0.0613755,-0.06374954
0.014572464,0.013718925,0.0130350655,0.01244351
0.13005415,0.12968893,0.12938276,0.1291914
0.11871192,0.11780996,0.11682539,0.11588613
-0.07860092,-0.08022822,-0.08198713,-0.08372446
-0.30830148,-0.30885184,-0.3093737,-0.30977443
-0.26646185,-0.26589808,-0.2651594,-0.2641361
-0.026083918,-0.02431882,-0.022295833,-0.019926196
0.08295621,0.083664924,0.08450797,0.085466385
0.110442646,0.110273935,0.11014639,0.11002624
0.28617865,0.28672642,0.28721923,0.28765777
0.478157,0.47963807,0.48104084,0.48237815
0.40631178,0.40725997,0.40818703,0.40908515
0.21172802,0.21179214,0.21187069,0.21197534
0.1350299,0.13526112,0.1354635,0.13569075
0.15410273,0.15477303,0.1553641,0.15592441
0.16588168,0.16650493,0.16704187,0.16753528
0.22254455,0.22336896,0.22404966,0.22470519
0.22088386,0.22240141,0.22366507,0.22486225
0.099941015,0.10118552,0.10216988,0.10303369
-0.03334991,-0.033000536,-0.032908425,-0.032997184
-0.085427314,-0.08601728,-0.086751446,-0.08760832
-0.03394596,-0.034877025,-0.03601956,-0.03728575
-0.15830067,-0.15864775,-0.15933025,-0.16006504
-0.35940045,-0.3585942,-0.35819703,-0.35776445
-0.33391815,-0.33320233,-0.3329657,-0.3326683
-0.11360066,-0.11406006,-0.115040585,-0.11595111
-0.07588673,-0.07625213,-0.077083655,-0.07779822
-0.15709338,-0.15648004,-0.15631813,-0.15600523
-0.02910986,-0.029430939,-0.030163428,-0.03078379
0.16203438,0.16082808,0.15958308,0.15836693
0.2746407,0.27336246,0.27226725,0.27118722
0.35521013,0.35405716,0.35319304,0.352348
0.35269558,0.35166907,0.3509198,0.35014364
0.22162086,0.2209288,0.2204446,0.21987322
-0.02093397,-0.02361515,-0.026041374,-0.028589783
-0.3827334,-0.38630217,-0.38967392,-0.39304608
-0.66363996,-0.6659092,-0.6680205,-0.6701134
-0.71729696,-0.71772516,-0.71805185,-0.7183747
-0.57769287,-0.5773246,-0.57684,-0.5763545
-0.43233472,-0.4323369,-0.4321681,-0.43203816
-0.4304712,-0.42999536,-0.4293664,-0.4288391
-0.37477526,-0.37358287,-0.3722937,-0.37109554
-0.12181343,-0.120838456,-0.11980176,-0.11878225
0.02174278,0.02214882,0.022531703,0.022917593
-0.016300222,-0.015528647,-0.0149983,-0.014548118
0.056059603,0.055672873,0.05513538,0.05453174
0.28818816,0.28701138,0.2858146,0.2845693
0.36422247,0.36364093,0.36303177,0.3623592
0.16274415,0.16312794,0.1632733,0.1633293
0.01801025,0.018439986,0.01862097,0.018723175
0.08509212,0.08535248,0.0855822,0.08578054
0.11359883,0.11433306,0.11507704,0.11578046
